Symbol,Last,Net Change,Bid,Ask,Volume,Open Interest,Symbol,Last,Net Change,Bid,Ask,Volume,Open Interest
SPY1805A225,37.56,2.02,39.26,39.59,0,5,SPY1805M225,0.07,-0.03,0.07,0.08,101,4843
SPY1805A227.5,,,36.76,37.09,,0,SPY1805M227.5,0.08,-0.04,0.08,0.09,14,10
SPY1805A230,,,34.26,34.6,,0,SPY1805M230,0.11,0.02,0.09,0.1,10,26822
SPY1805A232.5,,,31.77,32.1,,0,SPY1805M232.5,0.11,-0.06,0.11,0.12,0,335
SPY1805A235,,,29.27,29.6,,0,SPY1805M235,0.14,-0.05,0.12,0.13,25,474
SPY1805A237.5,,,26.78,27.11,,0,SPY1805M237.5,0.22,0.01,0.14,0.16,0,76
SPY1805A240,,,24.28,24.61,,0,SPY1805M240,0.19,-0.11,0.17,0.18,72,53270
SPY1805A242.5,,,21.79,22.12,,0,SPY1805M242.5,0.22,-0.1,0.2,0.21,24,354
SPY1805A245,19.24,-0.21,19.3,19.63,0,5,SPY1805M245,0.27,-0.1,0.24,0.25,30,612
SPY1805A246,,,18.31,18.63,,0,SPY1805M246,0.3,-0.34,0.26,0.27,0,128
SPY1805A247,17.36,0.06,17.32,17.64,0,2,SPY1805M247,0.45,0.02,0.28,0.29,5,2631
SPY1805A247.5,,,16.82,17.14,,0,SPY1805M247.5,0.51,0.17,0.29,0.3,0,169
SPY1805A248,,,16.32,16.64,,0,SPY1805M248,0.33,-0.18,0.31,0.32,1,581
SPY1805A249,,,15.33,15.65,,0,SPY1805M249,0.53,-0.04,0.33,0.34,0,149
SPY1805A250,13.64,-2.66,14.35,14.66,0,20,SPY1805M250,0.4,-0.14,0.36,0.38,79,28095
SPY1805A251,11.01,0,13.36,13.67,0,1,SPY1805M251,0.44,-0.15,0.39,0.41,1,95
SPY1805A252,,,12.38,12.69,,0,SPY1805M252,0.69,-0.03,0.43,0.46,5,2229
SPY1805A252.5,8.6,0.35,11.9,12.2,0,152,SPY1805M252.5,0.62,-0.17,0.47,0.48,2,82
SPY1805A253,10.4,2.26,11.41,11.71,0,211,SPY1805M253,0.53,-0.25,0.48,0.51,7,2335
SPY1805A254,8.47,-2.05,10.44,10.74,0,314,SPY1805M254,0.56,-0.28,0.54,0.57,90,4856
SPY1805A255,11.41,1.38,9.48,9.77,0,248,SPY1805M255,0.64,-0.23,0.61,0.64,286,1352
SPY1805A256,9.09,0.12,8.53,8.81,0,383,SPY1805M256,0.75,-0.33,0.7,0.72,710,16266
SPY1805A257,7.94,-0.27,7.6,7.87,0,528,SPY1805M257,0.85,-0.3,0.8,0.83,49,1333
SPY1805A257.5,7.49,-0.7,7.14,7.4,0,272,SPY1805M257.5,0.92,-0.3,0.86,0.89,88,2220
SPY1805A258,6.54,0.34,6.76,6.86,10,59,SPY1805M258,1.05,-0.18,0.94,0.96,31,2603
SPY1805A259,5.05,-3.07,5.87,5.96,0,408,SPY1805M259,1.16,-0.36,1.07,1.11,505,359
SPY1805A260,4.78,0.34,5.01,5.11,11,914,SPY1805M260,1.38,-0.36,1.26,1.3,40,3580
SPY1805A260.5,4.21,-0.36,4.6,4.69,0,360,SPY1805M260.5,1.55,-0.3,1.38,1.41,3,281
SPY1805A261,3.62,-0.18,4.19,,0,716,SPY1805M261,1.68,-0.28,1.49,1.53,97,1406
SPY1805A261.5,4.63,0.14,3.8,3.89,0,146,SPY1805M261.5,1.66,-0.46,1.63,1.66,2,338
SPY1805A262,3.22,0.19,3.43,3.5,15,2182,SPY1805M262,1.9,-0.33,1.76,1.81,16,3246
SPY1805A262.5,3.08,0.44,3.07,3.14,104,1069,SPY1805M262.5,2.21,-0.14,1.93,1.98,39,817
SPY1805A263,2.53,0.21,2.73,2.81,256,2769,SPY1805M263,2.25,-0.55,2.11,2.16,95,3123
SPY1805A263.5,2.25,0.25,2.41,2.48,3991,4822,SPY1805M263.5,2.51,-0.51,2.3,2.37,103,889
SPY1805A264,2.05,0.24,2.12,2.16,2962,3196,SPY1805M264,2.7,-0.57,2.53,2.59,92,1210
SPY1805A264.5,1.73,0.07,1.84,1.88,4435,5528,SPY1805M264.5,3.2,-0.19,2.76,2.83,9,955
SPY1805A265,1.57,0.29,1.59,1.63,205,2993,SPY1805M265,3.41,-0.5,3.03,3.1,10,1421
SPY1805A266,1.07,0.11,1.16,1.18,981,12193,SPY1805M266,3.9,-0.48,3.64,3.71,63,1230
SPY1805A267,0.73,0.02,0.82,0.84,1303,15939,SPY1805M267,4.47,-0.52,4.33,4.41,229,1380
SPY1805A267.5,0.63,0.06,0.68,0.7,449,3986,SPY1805M267.5,5.22,-0.31,4.71,4.8,10,971
SPY1805A268,0.53,0.03,0.56,0.58,180,4255,SPY1805M268,5.5,-0.92,5.11,5.2,102,1034
SPY1805A269,0.34,0.05,0.38,0.4,1021,3794,SPY1805M269,6.4,-0.64,5.93,6.22,50,1491
SPY1805A270,0.24,0.01,0.25,0.27,392,2665,SPY1805M270,7.35,0.43,6.85,7.15,50,2089
SPY1805A271,0.13,0,0.17,0.18,0,1194,SPY1805M271,6.06,-1.01,7.8,8.11,0,725
SPY1805A272,0.11,0.03,0.11,0.13,0,1385,SPY1805M272,7.45,-1,8.77,9.09,0,25
SPY1805A272.5,0.12,-0.21,0.09,0.11,0,149,SPY1805M272.5,,,9.26,9.59,,0
SPY1805A273,0.1,-0.09,0.08,,0,361,SPY1805M273,9.13,0,9.75,10.08,0,1
SPY1805A274,0.05,-0.01,0.06,0.07,0,4143,SPY1805M274,8.83,0,10.75,11.07,0,3
SPY1805A275,0.04,0,0.05,,0,380,SPY1805M275,12.21,1.85,11.74,12.07,2,6
SPY1805A277.5,0.03,-0.04,0.03,0.04,0,140,SPY1805M277.5,12.81,0,14.23,14.57,0,6
SPY1805A280,0.02,-0.02,0.02,,0,220,SPY1805M280,,,16.73,17.06,,0
SPY1805A282.5,0.01,0,,,0,19,SPY1805M282.5,,,19.23,19.56,,0
SPY1805A285,,,0.01,0.02,,0,SPY1805M285,,,21.73,22.06,,0
SPY1805A287.5,,,,0.01,,0,SPY1805M287.5,,,24.22,24.56,,0
SPY1805A290,0.01,-0.01,,,0,366,SPY1805M290,30.14,0,26.72,27.06,0,1
SPY1805A292.5,,,,,,0,SPY1805M292.5,30.48,0,29.22,29.55,0,19
SPY1805A295,,,,0.01,,0,SPY1805M295,35.13,0,31.72,32.05,0,1
SPY1805A297.5,,,,0.01,,0,SPY1805M297.5,,,34.22,34.55,,0
SPY1812A227.5,,,36.76,37.09,,0,SPY1812M227.5,0.13,-0.03,0.12,0.14,20,732
SPY1812A230,,,34.27,34.59,,0,SPY1812M230,0.14,-0.06,0.14,0.16,105,121
SPY1812A232.5,,,31.77,32.09,,0,SPY1812M232.5,0.25,-0.05,0.16,0.18,0,38
SPY1812A235,,,29.28,29.6,,0,SPY1812M235,0.26,-0.04,0.18,0.2,10,115
SPY1812A237.5,,,26.79,27.11,,0,SPY1812M237.5,0.24,-0.08,0.21,0.24,20011,86
SPY1812A240,,,24.3,24.62,,0,SPY1812M240,0.28,-0.09,0.25,0.27,35,2849
SPY1812A242.5,22.56,0,21.82,22.13,0,5,SPY1812M242.5,0.33,-0.03,0.3,0.32,2,21
SPY1812A245,21.26,0,19.34,19.65,0,5,SPY1812M245,0.5,-0.06,0.35,0.38,0,126
SPY1812A247.5,,,16.87,17.18,,0,SPY1812M247.5,0.46,-0.2,0.43,0.45,20010,140
SPY1812A250,16.57,4.54,14.43,14.72,0,40,SPY1812M250,0.56,-0.23,0.53,0.55,22,236
SPY1812A251,,,13.45,13.74,,0,SPY1812M251,0.72,-0.07,0.58,0.6,2,14
SPY1812A252,11.37,0,12.49,12.77,0,10,SPY1812M252,0.71,-0.24,0.63,0.66,3,35
SPY1812A252.5,10.99,-0.02,12.01,12.29,0,2,SPY1812M252.5,0.95,-0.08,0.66,0.69,15,99
SPY1812A253,11.55,1.12,11.53,11.81,5,23,SPY1812M253,0.95,-0.08,0.7,0.73,0,72
SPY1812A254,,,10.59,10.85,,0,SPY1812M254,0.86,-0.22,0.77,0.8,3,208
SPY1812A255,11.56,1.73,9.65,9.91,0,5,SPY1812M255,0.92,-0.24,0.86,0.89,5,136
SPY1812A256,8.35,0.36,8.73,8.98,20,10,SPY1812M256,1.02,-0.23,0.96,0.99,5,200
SPY1812A257,8.83,0.85,7.9,7.99,0,3,SPY1812M257,1.13,-0.3,1.09,1.11,6,167
SPY1812A257.5,7.42,0.71,7.45,7.55,21,10,SPY1812M257.5,1.23,-0.24,1.14,1.18,18,14
SPY1812A258,7.07,0.5,7.01,7.11,3,40,SPY1812M258,1.35,-0.24,1.21,1.26,10,176
SPY1812A259,5.78,-1.23,6.16,6.25,1,16,SPY1812M259,1.47,-0.32,1.39,1.42,1,141
SPY1812A260,5.38,0.4,5.33,5.42,23,25,SPY1812M260,1.6,-0.41,1.56,1.62,140,447
SPY1812A261,4.33,-0.79,4.54,4.62,24,261,SPY1812M261,1.94,-0.45,1.79,1.85,189,57
SPY1812A262,3.71,0.41,3.79,3.88,65,103,SPY1812M262,2.25,-0.41,2.08,2.13,135,166
SPY1812A262.5,3.34,0.37,3.44,3.52,65,161,SPY1812M262.5,2.41,-0.45,2.24,2.29,242,91
SPY1812A263,2.93,0.25,3.1,3.18,198,88,SPY1812M263,2.69,-0.48,2.41,2.47,130,429
SPY1812A264,2.34,0.1,2.48,2.55,51,580,SPY1812M264,3.14,-0.24,2.81,2.87,29,436
SPY1812A265,1.75,-0.05,1.93,2,25,98,SPY1812M265,3.42,-0.63,3.27,3.35,19,171
SPY1812A266,1.44,0.24,1.47,1.53,16,1117,SPY1812M266,4.01,-0.74,3.84,3.92,5,449
SPY1812A267,1,0.01,1.08,1.13,180,268,SPY1812M267,4.66,-0.57,4.49,4.58,8,382
SPY1812A267.5,0.92,-0.09,0.92,0.97,2,809,SPY1812M267.5,5.04,-0.85,4.85,4.94,146,227
SPY1812A268,0.61,-0.06,0.78,0.82,1,1598,SPY1812M268,5.64,-0.61,5.23,5.32,259,359
SPY1812A269,0.54,0.06,0.55,0.58,51,718,SPY1812M269,7.05,1.37,6.02,6.29,0,383
SPY1812A270,0.39,0.05,0.38,0.4,8,328,SPY1812M270,7.5,1,6.9,7.19,27,946
SPY1812A271,0.23,-0.02,0.26,0.28,0,400,SPY1812M271,6.54,-0.87,7.83,8.13,0,629
SPY1812A272,0.18,0.02,0.18,0.2,3,45,SPY1812M272,10.15,1.85,8.79,9.1,1,33
SPY1812A272.5,0.14,-0.36,0.15,0.17,1,8,SPY1812M272.5,,,9.28,9.59,,0
SPY1812A273,0.14,0.03,0.13,0.14,30,61,SPY1812M273,,,9.77,10.09,,0
SPY1812A274,0.09,-0.03,0.09,0.11,0,61,SPY1812M274,,,10.76,11.08,,0
SPY1812A275,0.06,-0.11,0.07,0.09,0,223,SPY1812M275,,,11.75,12.07,,0
SPY1812A277.5,0.09,-0.01,0.04,0.06,0,16,SPY1812M277.5,,,14.25,14.57,,0
SPY1812A280,0.04,0,0.02,0.04,5,17,SPY1812M280,,,16.74,17.06,,0
SPY1812A282.5,,,0.02,0.03,,0,SPY1812M282.5,,,19.24,19.56,,0
SPY1812A285,0.02,-0.02,0.01,0.03,0,6,SPY1812M285,,,21.74,22.06,,0
SPY1812A287.5,,,,0.02,,0,SPY1812M287.5,,,24.24,24.56,,0
SPY1812A290,,,,0.02,,0,SPY1812M290,,,26.73,27.06,,0
SPY1812A292.5,,,,0.01,,0,SPY1812M292.5,,,29.23,29.56,,0
SPY1812A295,,,,0.01,,0,SPY1812M295,,,31.73,32.05,,0
SPY1812A297.5,,,,0.01,,0,SPY1812M297.5,,,34.23,34.55,,0
